id,用户名,等级,省籍,文化,文化组,关系数目,演讲数目,邀请人数
1,CIVITAS,21级,亚历山大,托勒密,希腊,404,778,266
2,MEOWLINA,20级,罗马,罗马,拉丁,几百,几个,几个
3,天穹羽,11级,东克里特,克里特,希腊,几十,几十,几个
4,Drake.L,14级,京兆郡,关中,华夏,239,136,22
5,奥古斯都,15级,罗马,罗马,拉丁,几百,几十,几十
6,soxv,3级,京兆郡,关中,华夏,10,1,0
7,大雁,24级,京兆郡,关中,华夏,2228,294,26
8,蓬莱酒,23级,罗马,罗马,拉丁,几百,几百,几十
9,哥特复兴,8级,京兆郡,关中,华夏,36,69,3
10,Eragon,9级,京兆郡,关中,华夏,137,86,10
11,Enjolras,7级,京兆郡,关中,华夏,44,38,7
12,Achronidas,16级,南郡,荆襄,华夏,几百,几百,几十
13,梅桀槽,8级,京兆郡,关中,华夏,31,62,0
14,Jesse小强,13级,京兆郡,关中,华夏,141,144,3
15,萌约翰,2级,京兆郡,关中,华夏,7,2,0
16,kevinsilence,1级,京兆郡,关中,华夏,0,0,0
17,大弛弛,8级,罗马,罗马,拉丁,几十,几十,几个
18,rlc,1级,京兆郡,关中,华夏,1,0,0
19,dahaot,14级,京兆郡,关中,华夏,87,61,3
20,刘彻,2级,京兆郡,关中,华夏,8,10,0
21,李尔克S.P.Q.R,2级,罗马,罗马,拉丁,极少,极少,极少
22,木羽真人,28级,京兆郡,关中,华夏,846,1495,15
23,joseph0730,19级,罗马,罗马,拉丁,几百,几十,几个
24,一期一会,13级,京兆郡,关中,华夏,281,176,23
25,水谷愚,11级,罗马,罗马,拉丁,几十,几十,极少
26,penn,1级,京兆郡,关中,华夏,0,0,0
27,凤天教主,6级,京兆郡,关中,华夏,12,23,2
28,AndyZ,4级,京兆郡,关中,华夏,34,3,0
29,朔月猫魂,19级,罗马,罗马,拉丁,几百,几百,几十
30,Dolly.Huang,10级,罗马,罗马,拉丁,几十,几十,几个
31,KimLEE,2级,京兆郡,关中,华夏,7,1,0
32,illusion,2级,京兆郡,关中,华夏,6,2,0
33,猫咪酷,24级,罗马,罗马,拉丁,几百,几十,几个
34,0,11级,京兆郡,关中,华夏,122,77,4
35,许炜成,10级,京兆郡,关中,华夏,76,61,4
36,Zea!0t,5级,罗马,罗马,拉丁,几个,几十,极少
37,,,,,,,,
38,,,,,,,,
39,Philobeing,2级,罗马,罗马,拉丁,几个,几个,极少
40,二饼,4级,京兆郡,关中,华夏,13,5,0
41,EverLeave,1级,京兆郡,关中,华夏,1,0,0
42,leaveYeah,1级,罗马,罗马,拉丁,极少,极少,极少
43,蓝雪归蓝,19级,罗马,罗马,拉丁,几十,几十,极少
44,Adward_R,20级,罗马,罗马,拉丁,几千,几百,几十
45,dolphinegg,8级,罗马,罗马,拉丁,几十,几十,极少
46,色拉叙马霍斯,2级,罗马,罗马,拉丁,几个,几个,极少
47,Anchrla,11级,京兆郡,关中,华夏,42,33,0
48,袁希洛,7级,京兆郡,关中,华夏,26,75,2
49,青穹,2级,罗马,罗马,拉丁,几个,几个,极少
50,sccby,1级,罗马,罗马,拉丁,几个,极少,极少
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,djbillc,12级,罗马,罗马,拉丁,几百,几百,几个
82,偷走惊叹号,20级,蜀郡,巴蜀,华夏,几百,几百,几十
83,TonyZhang,2级,京兆郡,关中,华夏,6,14,0
84,ykwag焜,1级,罗马,罗马,拉丁,极少,几个,极少
85,johnliu,1级,罗马,罗马,拉丁,极少,几个,极少
86,池云焕,5级,京兆郡,关中,华夏,18,18,0
87,Sidera,1级,罗马,罗马,拉丁,极少,几个,极少
88,阿瞳瞳瞳瞳AT,3级,京兆郡,关中,华夏,6,13,1
89,裴藜,1级,京兆郡,关中,华夏,1,0,0
90,早早会开花。,18级,罗马,罗马,拉丁,几百,几百,几个
91,花瓣雨,5级,罗马,罗马,拉丁,几个,几十,极少
92,Younghuang,13级,京兆郡,关中,华夏,90,24,1
93,Cyndie_wxY,4级,罗马,罗马,拉丁,几个,几个,极少
94,M72980,18级,罗马,罗马,拉丁,几百,几百,几个
95,April,3级,罗马,罗马,拉丁,几个,几个,极少
96,cherryblosso,3级,罗马,罗马,拉丁,几十,几个,极少
